label,frame,area,perimeter,x,y,w,h,cx,cy,uL,uR
L,0,5168.5,337.3797233104706,603,987,90,82,649,1024,603,693
L,1,5204.0,341.2792183160782,604,980,88,86,649,1020,604,692
L,2,4918.0,332.93607234954834,603,979,89,89,650,1019,603,692
L,3,6280.0,366.1076452732086,603,959,89,110,649,1007,603,692
L,4,5924.5,364.8355669975281,604,958,88,109,648,1005,604,692
L,5,6303.0,413.22034299373627,604,947,89,122,647,997,604,693
L,6,6879.5,421.46298360824585,603,934,89,135,647,988,603,692
L,7,6372.0,400.7350620031357,603,932,89,122,646,983,603,692
L,8,7400.0,464.1909055709839,604,915,88,141,646,972,604,692
L,9,7872.5,458.71781718730927,602,908,90,145,644,968,602,692
L,10,7888.5,493.8893896341324,602,906,89,144,643,965,602,691
L,11,8873.5,514.7178170681,602,888,90,162,642,954,602,692
L,12,8801.5,482.43354618549347,602,884,88,152,641,950,602,690
L,13,9035.0,535.7888845205307,602,874,89,167,640,945,602,691
L,14,9573.0,539.93101978302,602,859,89,178,639,935,602,691
L,15,8093.5,516.5756813287735,603,859,88,167,637,926,603,691
L,16,8109.0,495.5046137571335,602,845,89,159,639,910,602,691
L,17,8289.5,454.77669167518616,602,833,88,155,640,900,602,690
L,18,8088.5,489.4041087627411,602,832,88,160,639,899,602,690
L,19,9044.0,520.6173115968704,602,812,88,180,640,888,602,690
L,20,9297.5,506.0315248966217,602,806,88,169,641,881,602,690
L,21,8520.0,455.3624781370163,602,802,88,142,643,869,602,690
L,22,9392.0,516.1909055709839,602,780,88,156,644,855,602,690
L,23,7935.0,426.0487699508667,602,781,88,123,645,841,602,690
L,24,9136.5,498.43354630470276,601,767,89,135,645,836,601,690
L,25,9581.5,480.9188275337219,601,757,89,149,644,826,601,690
L,26,8037.5,450.91882717609406,601,758,89,124,645,816,601,690
L,27,9058.5,447.9482647180557,601,736,89,138,644,801,601,690
L,28,9500.0,448.67618668079376,600,732,90,132,643,797,600,690
L,29,8363.5,454.6345567703247,600,730,88,130,642,789,600,688
L,30,9625.0,437.0782079696655,601,707,88,136,643,775,601,689
L,31,9307.0,485.6467491388321,600,707,89,137,642,771,600,689
L,32,8043.0,428.877197265625,601,698,87,124,644,758,601,688
L,33,9152.0,467.36247849464417,600,681,90,129,643,745,600,690
L,34,8415.0,459.0193326473236,599,682,90,126,642,741,599,689
L,35,8991.5,498.23253560066223,600,667,90,137,643,732,600,690
L,36,10238.5,480.0904004573822,600,653,88,147,642,723,600,688
L,37,8451.5,482.09040009975433,600,656,89,126,642,714,600,689
L,38,9746.5,498.57568180561066,599,636,91,140,642,703,599,690
L,39,9990.5,520.5756816864014,600,626,90,142,641,694,600,690
L,40,9603.5,533.060962677002,600,626,90,137,642,692,600,690
L,41,10847.5,614.3746713399887,600,602,89,164,643,677,600,689
L,42,9714.5,509.4041085243225,600,600,88,138,642,668,600,688
L,43,10474.0,583.445739030838,600,594,88,147,643,665,600,688
L,44,10540.5,548.5756815671921,600,574,88,146,643,646,600,688
L,45,9649.0,554.7594470977783,600,576,88,136,644,644,600,688
L,46,11081.0,589.4457387924194,600,553,88,164,644,634,600,688
L,47,10540.5,566.5168063640594,599,545,89,147,642,618,599,688
L,48,10214.0,534.4751763343811,600,543,88,148,643,616,600,688
L,49,11781.5,616.8599524497986,600,523,90,169,644,604,600,690
L,50,10821.0,541.5046136379242,600,520,88,153,643,593,600,688
L,51,11063.0,570.8183219432831,599,514,89,160,645,590,599,688
L,52,11838.5,623.0609630346298,598,493,90,173,644,575,598,688
L,53,10355.0,557.7888848781586,598,493,90,147,643,566,598,688
L,54,11234.5,624.3157958984375,596,477,92,165,644,557,596,688
L,55,10666.0,531.102592587471,598,465,90,151,643,540,598,688
L,56,10680.5,578.3157958984375,598,464,90,152,643,538,598,688
L,57,11868.0,592.1320307254791,599,446,90,168,644,529,599,689
L,58,10688.5,562.85995221138,599,438,89,155,643,513,599,688
L,59,11278.5,573.0609627962112,598,434,92,160,643,511,598,690
L,60,12232.0,623.7888847589493,598,412,90,178,644,498,598,688
L,61,10274.0,537.7888847589493,598,412,91,146,643,484,598,689
L,62,11597.5,572.0315253734589,598,398,90,166,643,481,598,688
L,63,11520.5,604.5168067216873,597,385,91,165,643,465,597,688
L,64,10279.0,515.1614681482315,598,384,90,146,642,457,598,688
L,65,11586.5,576.0315253734589,598,366,90,164,642,449,598,688
