label,frame,area,perimeter,x,y,w,h,cx,cy,uL,uR
L,68,5174.0,356.6518017053604,608,1139,88,77,652,1178,608,696
L,70,3671.5,329.8650047779083,608,1143,86,59,651,1173,608,694
L,71,4443.0,424.2497807741165,608,1120,88,77,651,1157,608,696
L,72,2329.5,320.69343197345734,609,1126,83,49,650,1150,609,692
L,73,3492.0,366.45079135894775,608,1122,85,64,652,1153,608,693
L,74,3682.0,306.30865597724915,608,1104,87,67,650,1137,608,695
L,75,2100.5,290.4091613292694,610,1120,81,44,650,1139,610,691
L,76,3594.0,324.6518017053604,608,1102,86,62,650,1134,608,694
L,77,2700.0,346.2497807741165,610,1094,82,56,648,1121,610,692
L,78,2417.5,268.7523066997528,611,1102,82,50,649,1127,611,693
L,79,3720.0,334.45079135894775,608,1086,86,63,649,1117,608,694
L,80,2480.0,292.99494767189026,610,1088,80,53,646,1112,610,690
L,81,2724.0,289.8233746290207,608,1090,85,51,647,1113,608,693
L,82,3668.5,302.89444231987,608,1074,85,64,647,1102,608,693
L,83,2687.5,302.6934314966202,612,1076,80,62,646,1102,612,692
L,84,3511.5,308.40916109085083,606,1073,87,65,645,1100,606,693
L,85,3664.0,312.7939375638962,608,1060,85,72,645,1090,608,693
L,86,2798.5,305.7228692770004,608,1064,84,64,645,1091,608,692
L,87,3704.5,316.2081505060196,605,1052,88,70,647,1083,605,693
L,88,3556.0,306.793937087059,606,1047,87,71,645,1077,606,693
L,89,2879.5,267.37972366809845,605,1052,87,57,645,1077,605,692
L,90,4015.0,310.93607246875763,605,1037,90,68,647,1067,605,695
L,91,3626.0,295.2792179584503,606,1033,88,67,645,1064,606,694
L,92,3262.5,279.5218584537506,606,1034,86,65,646,1063,606,692
L,93,4207.5,330.97770273685455,605,1018,89,76,647,1054,605,694
L,94,3714.0,333.9066345691681,606,1016,88,74,646,1050,606,694
L,95,3655.5,326.14927530288696,605,1015,88,77,647,1050,605,693
L,96,4299.5,350.49242103099823,606,1000,87,87,647,1041,606,693
L,97,4017.0,334.39191567897797,606,997,86,89,645,1037,606,692
L,98,3868.0,338.2497807741165,606,996,87,84,647,1034,606,693
L,99,4509.0,362.048770070076,606,982,86,94,647,1027,606,692
L,100,4398.0,351.22034299373627,606,977,86,99,645,1023,606,692
L,101,4127.5,363.46298384666443,606,976,85,100,645,1022,606,691
L,102,4836.0,435.44573879241943,606,959,86,114,646,1013,606,692
L,103,4834.0,426.8183219432831,606,956,86,120,643,1013,606,692
L,104,4442.5,466.03152453899384,605,954,87,126,643,1011,605,692
L,105,4871.0,491.9310200214386,605,940,87,132,644,999,605,692
L,106,4222.5,465.2030977010727,608,936,83,131,643,993,608,691
L,107,3764.0,453.98989486694336,605,939,86,117,643,989,605,691
L,108,4186.5,416.29141092300415,606,918,87,128,645,974,606,693
L,109,3485.5,403.46298372745514,606,917,85,123,642,972,606,691
L,110,3259.0,411.3624783754349,606,915,86,113,645,964,606,692
L,111,3506.0,381.7056243419647,605,901,87,115,646,951,605,692
L,112,3243.0,364.39191603660583,608,899,82,117,643,950,608,690
L,113,3625.0,392.53405141830444,608,895,84,125,643,948,608,692
L,114,4254.0,435.1614680290222,605,881,87,140,641,941,605,692
L,115,3959.0,409.36247849464417,604,880,87,135,640,938,604,691
L,116,3949.5,411.9482650756836,605,874,87,133,642,928,605,692
L,117,4293.0,430.8771971464157,606,859,84,143,642,918,606,690
L,118,3911.0,450.81832206249237,605,858,87,138,640,916,605,692
L,119,4068.5,430.776692032814,604,852,86,138,641,910,604,690
L,120,4373.0,443.84775948524475,606,840,84,146,641,901,606,690
L,121,4284.5,405.46298348903656,606,839,84,147,637,902,606,690
L,122,4547.0,471.5046132802963,606,832,86,156,637,899,606,692
L,123,4673.5,516.2325357198715,604,820,86,164,637,892,604,690
L,124,3859.0,529.1025924682617,604,819,87,155,635,884,604,691
L,125,3697.5,479.26197350025177,606,812,84,150,637,872,606,690
L,126,3750.5,470.0904002189636,604,800,86,157,635,867,604,690
L,127,3030.5,438.7766921520233,604,800,86,140,634,862,604,690
L,128,2794.0,425.01933217048645,608,790,82,140,641,841,608,690
L,129,3013.5,436.43354618549347,606,780,85,148,640,834,606,691
L,130,2780.5,447.7472537755966,604,780,87,136,637,833,604,691
L,131,3168.0,425.7056245803833,603,771,87,147,637,826,603,690
L,132,3341.5,441.2619731426239,603,760,87,152,637,817,603,690
L,133,3334.0,425.0193325281143,604,759,86,143,635,815,604,690
L,134,3516.0,452.1320297718048,604,748,86,145,639,802,604,690
L,135,3672.5,434.0904002189636,604,738,86,142,640,792,604,690
L,136,3231.5,478.3746715784073,604,736,86,136,641,785,604,690
L,137,3699.5,411.4041084051132,604,727,87,125,642,777,604,691
L,138,3922.5,460.2325360774994,604,718,86,138,642,770,604,690
L,139,3546.0,407.3624782562256,604,716,87,136,640,767,604,691
L,140,3792.0,481.78888487815857,604,706,85,145,642,756,604,689
L,141,4114.5,458.37467062473297,604,696,86,145,643,747,604,690
L,142,4053.5,482.91882729530334,603,695,87,147,642,745,603,690
L,143,4241.0,490.81832218170166,604,686,86,141,643,734,604,690
L,144,4641.5,524.918827176094,604,676,86,143,641,726,604,690
L,145,4456.5,495.26197350025177,603,675,87,144,640,723,603,690
L,146,4587.5,438.6345566511154,604,670,86,128,639,716,604,690
L,147,4923.5,448.291410446167,603,658,86,138,638,707,603,689
L,148,4640.5,421.66399443149567,603,655,87,120,637,701,603,690
L,149,4624.5,416.6345565319061,604,650,85,126,636,697,604,689
L,150,5184.0,444.7350620031357,602,640,87,132,635,688,602,689
L,151,5088.5,458.6345566511154,601,637,88,129,632,686,601,689
L,152,4979.5,410.6345566511154,602,632,88,117,633,679,602,690
L,153,5454.0,417.07820785045624,602,621,87,125,633,672,602,689
L,154,5446.0,442.87719762325287,602,616,87,136,631,669,602,689
L,155,5086.5,479.60511922836304,601,610,88,134,632,661,601,689
L,156,5324.5,438.6345567703247,601,598,87,132,633,651,601,688
L,157,5374.0,471.5046137571335,600,593,90,139,633,645,600,690
L,158,5181.5,435.32084834575653,602,588,87,124,635,638,602,689
L,159,5623.5,435.1198374032974,601,578,87,126,635,630,601,688
L,160,5808.5,509.5462439060211,601,568,87,136,635,623,601,688
L,161,6185.0,485.64674937725067,602,562,86,142,635,620,602,688
L,162,6498.5,495.4041085243225,602,552,86,140,637,611,602,688
L,163,6852.0,473.30360305309296,602,542,86,146,637,603,602,688
L,164,7268.0,466.6761865615845,601,539,87,149,637,600,601,688
L,165,8016.5,520.3746708631516,601,528,87,156,637,594,601,688
L,166,8324.5,517.4041085243225,600,519,88,153,638,585,600,688
L,167,7510.5,434.14927554130554,600,514,90,118,641,571,600,690
