label,frame,area,perimeter,x,y,w,h,cx,cy,uL,uR
L,17,5156.0,371.62236428260803,606,1149,89,103,649,1191,606,695
L,18,4422.5,345.0365777015686,605,1141,89,85,650,1181,605,694
L,19,4276.0,333.7644989490509,605,1137,89,79,651,1176,605,694
L,20,5549.5,350.55129635334015,605,1116,89,96,651,1164,605,694
L,21,4826.0,368.93607234954834,605,1114,87,98,649,1162,605,692
L,22,5507.5,396.9777023792267,604,1102,88,103,650,1152,604,692
L,23,6039.5,428.29141104221344,604,1086,89,114,649,1141,604,693
L,24,4892.5,377.0365778207779,604,1092,88,105,648,1139,604,692
L,25,6072.0,375.2792180776596,604,1064,89,107,650,1115,604,693
L,26,5355.0,369.2792181968689,604,1062,88,104,648,1112,604,692
L,27,5119.5,349.86500465869904,604,1060,90,86,648,1103,604,694
L,28,6158.5,387.3208477497101,604,1038,90,108,647,1089,604,694
L,29,5214.0,385.0782079696655,604,1044,90,96,646,1090,604,694
L,30,6353.0,377.62236428260803,604,1022,89,106,648,1071,604,693
L,31,5395.5,350.2081506252289,604,1015,88,96,645,1062,604,692
L,32,4849.0,343.1370828151703,603,1022,90,82,645,1060,603,693
L,33,5992.0,384.93607246875763,603,994,90,102,646,1043,603,693
L,34,4164.0,334.4507911205292,603,1004,89,72,646,1037,603,692
L,35,5687.5,361.1787130832672,602,979,90,91,648,1023,602,692
L,36,4895.5,360.14927542209625,603,976,89,85,646,1016,603,692
L,37,4433.5,291.0365778207779,603,978,89,70,647,1011,603,692
L,38,5661.0,336.79393684864044,603,954,89,91,647,999,603,692
L,39,4368.0,300.30865573883057,603,962,89,74,646,996,603,692
L,40,6089.0,338.79393696784973,602,934,90,94,648,982,602,692
L,41,5627.0,350.2497798204422,602,931,90,97,646,979,602,692
L,42,5127.0,339.7644990682602,602,930,90,86,647,972,602,692
L,43,6301.5,370.00714015960693,602,906,90,104,647,958,602,692
L,44,5364.0,342.1076452732086,602,908,90,99,644,953,602,692
L,45,6354.5,365.5218586921692,602,888,90,106,646,938,602,692
L,46,6162.0,367.62236404418945,603,882,89,107,643,933,603,692
L,47,5557.5,356.2081505060196,603,880,88,100,644,927,603,691
L,48,6826.0,393.76449966430664,602,854,89,118,644,911,602,691
L,49,6651.5,401.5218585729599,603,854,88,123,640,911,603,691
L,50,7092.5,424.83556723594666,602,838,88,140,640,900,602,690
L,51,7448.0,464.04877054691315,602,826,89,144,639,893,602,691
L,52,7438.0,461.07820773124695,602,826,88,150,636,897,602,690
L,53,8576.5,531.2619733810425,602,800,88,182,638,883,602,690
L,54,7795.0,522.3330407142639,602,796,88,191,635,881,602,690
L,55,7651.0,549.3036037683487,602,782,88,198,636,869,602,690
L,56,7185.0,518.4751763343811,602,767,89,191,638,851,602,691
