label,frame,area,perimeter,x,y,w,h,cx,cy,uL,uR
L,0,3430.5,347.6639943122864,608,1062,85,72,649,1094,608,693
L,1,2994.5,307.86500453948975,606,1072,85,62,648,1100,606,691
L,2,4560.5,353.8650047779083,606,1048,86,82,648,1086,606,692
L,3,2821.0,348.5929262638092,606,1052,85,76,646,1084,606,691
L,4,3313.0,370.10764515399933,606,1051,86,71,647,1083,606,692
L,5,4380.5,359.8650047779083,606,1032,86,86,645,1070,606,692
L,6,2663.0,281.1370828151703,610,1044,80,66,646,1070,610,690
L,7,3905.0,335.76449942588806,606,1032,86,77,647,1064,606,692
L,8,3607.0,330.1076453924179,606,1024,85,80,643,1056,606,691
L,9,2754.5,314.69343185424805,610,1032,82,69,647,1057,610,692
L,10,4323.5,350.3502858877182,608,1010,84,89,646,1047,608,692
L,11,3131.0,352.7350620031357,610,1008,80,91,644,1042,610,690
L,12,3495.0,352.4507911205292,607,1008,84,86,644,1043,607,691
L,13,4552.5,331.0365775823593,604,993,87,99,644,1032,604,691
L,14,3615.5,343.52185893058777,605,996,86,93,641,1031,605,691
L,15,3982.0,353.9655097723007,608,990,83,87,643,1025,608,691
L,16,4509.0,358.4507910013199,610,976,82,100,643,1016,610,692
L,17,4181.0,412.0487701892853,606,976,84,100,640,1018,606,690
L,18,4674.5,412.83556711673737,608,967,83,111,642,1010,608,691
L,19,5061.0,469.22034323215485,606,956,85,124,640,1006,606,691
L,20,4771.0,452.1909053325653,608,954,83,130,640,1005,608,691
L,21,5083.5,505.74725449085236,608,948,82,136,640,998,608,690
L,22,5367.0,476.534051656723,608,934,82,136,640,989,608,690
L,23,4832.5,455.60511898994446,606,934,84,129,639,987,606,690
L,24,5169.0,517.5046139955521,606,924,85,136,640,980,606,691
L,25,5613.5,544.2325358390808,606,912,84,150,640,972,606,690
L,26,5043.0,498.67618691921234,606,912,83,140,639,969,606,689
L,27,5445.0,528.3330410718918,606,902,84,152,640,961,606,690
L,28,5655.5,535.4041088819504,606,892,85,152,639,950,606,691
L,29,5499.5,482.91882741451263,606,893,84,147,638,950,606,690
L,30,5855.0,530.1320307254791,604,882,87,155,639,939,604,691
L,31,6127.5,472.4335459470749,606,873,84,151,639,929,606,690
L,32,6013.5,441.1198378801346,605,873,84,141,637,929,605,689
L,33,6931.0,485.01933240890503,603,862,87,150,637,922,603,690
L,34,7139.5,511.06096279621124,602,854,88,163,636,915,602,690
L,35,6367.0,452.04877066612244,603,855,86,137,637,909,603,689
L,36,6995.0,498.3330409526825,602,841,87,147,638,897,602,689
L,37,6973.5,466.634556889534,602,835,86,139,638,887,602,688
L,38,6739.0,483.36247873306274,603,836,87,136,638,886,603,690
