label,frame,area,perimeter,x,y,w,h,cx,cy,uL,uR
L,29,6062.0,416.3919161558151,606,1158,90,120,647,1206,606,696
L,30,6293.0,434.19090580940247,606,1144,87,130,646,1195,606,693
L,31,5123.5,419.8061294555664,606,1145,87,117,646,1191,606,693
L,32,5891.0,413.07820749282837,605,1127,88,125,647,1176,605,693
L,33,5324.0,403.56348860263824,608,1122,85,116,649,1168,608,693
L,34,5218.5,405.806129693985,606,1118,88,114,650,1164,606,694
L,35,5951.5,404.9777023792267,605,1101,88,122,650,1150,605,693
L,36,5294.5,414.77669191360474,606,1101,86,119,650,1148,606,692
L,37,6204.0,412.04877030849457,605,1088,88,120,651,1137,605,693
L,38,6634.5,428.91882741451263,605,1080,87,128,650,1132,605,692
L,39,6203.5,428.57568180561066,605,1079,88,131,650,1133,605,693
L,40,7093.5,518.8599520921707,604,1061,89,149,649,1117,604,693
L,41,5950.5,412.77669191360474,605,1060,88,108,645,1108,605,693
L,42,6280.0,392.3919161558151,604,1048,88,113,644,1100,604,692
L,43,6659.5,447.06096267700195,604,1037,88,128,642,1091,604,692
L,44,6040.5,429.74725437164307,604,1040,88,125,640,1091,604,692
L,45,6723.0,447.6467491388321,603,1022,90,130,640,1073,603,693
L,46,6679.5,422.2914103269577,604,1018,88,129,638,1071,604,692
L,47,6911.0,434.87719786167145,604,1012,88,134,638,1067,604,692
L,48,7531.5,463.4629843235016,603,997,89,141,639,1055,603,692
L,49,6811.5,442.29141104221344,602,997,90,130,640,1051,602,692
L,50,7768.5,448.9777023792267,602,982,90,138,640,1041,602,692
L,51,7675.0,491.7056248188019,603,975,89,148,638,1035,603,692
L,52,6708.0,476.33304047584534,603,972,89,137,639,1028,603,692
L,53,7399.0,478.3330405950546,602,955,90,141,640,1012,602,692
L,54,6807.5,463.60511910915375,602,954,89,144,638,1009,602,691
L,55,6979.5,482.91882741451263,602,944,89,141,639,997,602,691
L,56,7559.0,432.877197265625,603,932,88,140,640,989,603,691
L,57,6952.5,456.776692032814,602,934,89,138,640,989,602,691
L,58,7688.0,450.534051656723,601,916,90,140,640,973,601,691
L,59,6678.0,427.70562398433685,602,912,89,126,640,964,602,691
L,60,6603.5,441.6051194667816,602,907,89,133,639,958,602,691
L,61,6931.0,468.1909056901932,602,890,89,132,641,942,602,691
L,62,6173.5,433.9482650756836,602,890,88,126,641,940,602,690
L,63,6846.5,435.4629839658737,602,876,88,130,642,927,602,690
L,64,7178.0,483.1025927066803,601,866,89,134,642,921,601,690
L,65,6487.5,451.88938987255096,602,868,88,121,643,918,602,690
L,66,7609.5,465.60511922836304,602,846,89,140,644,903,602,691
L,67,7128.0,459.3036035299301,602,842,88,138,643,899,602,690
L,68,7071.5,463.06096291542053,602,836,87,140,643,894,602,689
