label,frame,area,perimeter,x,y,w,h,cx,cy,uL,uR
L,6,6108.0,438.0487701892853,607,1110,93,148,656,1172,607,700
L,7,6012.5,456.14927566051483,606,1100,94,148,658,1164,606,700
L,8,5609.5,462.6345566511154,606,1098,94,144,660,1161,606,700
L,9,5555.0,459.5634891986847,606,1080,92,150,656,1141,606,698
L,10,4051.5,417.3208484649658,606,1080,92,126,658,1132,606,698
L,11,5007.0,473.01933228969574,606,1057,92,148,655,1117,606,698
L,12,4317.5,425.46298372745514,606,1054,92,143,660,1114,606,698
L,13,4678.5,478.43354630470276,606,1044,92,151,657,1104,606,698
L,14,4023.0,472.67618680000305,606,1032,90,134,656,1086,606,696
L,15,3392.0,413.220342874527,605,1030,91,126,655,1078,605,696
L,16,4111.5,462.2914103269577,605,1010,91,152,655,1065,605,696
L,17,3796.0,485.3624783754349,604,1009,92,149,660,1066,604,696
L,18,4381.0,486.53405129909515,604,993,92,159,657,1053,604,696
L,19,4074.5,446.6345567703247,604,986,92,146,659,1043,604,696
L,20,4165.5,453.1198378801346,605,977,91,149,659,1034,605,696
L,21,4575.5,434.29141080379486,605,961,90,147,657,1017,605,695
L,22,4072.0,445.22034299373627,605,959,90,132,660,1012,605,695
L,23,5051.0,440.04877042770386,605,936,90,147,656,996,605,695
L,24,4993.5,431.2619731426239,604,929,92,132,657,987,604,696
L,25,5211.0,433.1614679098129,604,918,91,147,656,980,604,695
L,26,6233.0,463.5634888410568,604,899,90,159,654,965,604,694
L,27,6543.5,458.6345565319061,604,898,92,162,656,966,604,696
L,28,7365.5,478.57568168640137,603,876,93,159,651,946,603,696
L,29,8030.0,473.5634889602661,604,868,92,148,652,940,604,696
L,30,7961.5,431.806129693985,604,860,90,141,651,931,604,694
L,31,7915.0,451.705624461174,603,840,91,134,647,908,603,694
L,32,8040.5,451.806129693985,604,834,90,138,649,903,604,694
L,33,8469.0,514.3330411911011,603,819,91,151,648,893,603,694
L,34,8935.0,471.90663492679596,603,802,91,152,648,879,603,694
L,35,9209.5,497.60511898994446,604,796,90,160,649,874,604,694
L,36,9352.5,489.2619732618332,602,779,92,157,647,858,602,694
L,37,9513.5,535.7472549676895,602,768,92,166,648,847,602,694
L,38,8308.0,464.04877054691315,602,761,92,139,646,831,602,694
L,39,9322.5,515.6051193475723,602,738,92,154,645,816,602,694
L,40,9119.5,491.4041087627411,602,736,92,152,647,811,602,694
L,41,9096.0,479.22034335136414,602,720,92,146,645,793,602,694
L,42,10334.5,511.2619733810425,601,701,93,159,646,784,601,694
L,43,8577.5,459.806129693985,602,701,90,143,646,773,602,692
L,44,9530.0,477.36247849464417,600,678,94,150,646,753,600,694
L,45,7800.0,410.24978041648865,601,677,91,123,645,740,601,692
L,46,8667.0,493.36247849464417,601,659,91,143,646,730,601,692
L,47,8766.5,470.29141116142273,600,647,92,140,646,717,600,692
L,48,8201.0,456.8771975040436,601,644,91,132,646,710,601,692
L,49,9489.5,500.91882705688477,600,618,92,154,645,693,600,692
L,50,8631.5,458.4335459470749,601,616,90,140,645,685,601,691
L,51,10460.5,534.2325354814529,600,595,91,166,645,678,600,691
L,52,10788.5,560.0315251350403,600,584,92,167,646,668,600,692
L,53,10746.0,552.6173117160797,600,576,92,178,648,663,600,692
L,54,11052.0,558.1320303678513,600,552,91,177,645,641,600,691
L,55,11569.5,551.0609631538391,600,545,91,183,647,635,600,691
L,56,11224.0,547.5046137571335,600,534,92,176,646,622,600,692
L,57,11887.5,541.6051200628281,600,515,91,189,646,607,600,691
L,58,11592.5,553.8893896341324,600,510,90,186,647,600,600,690
L,59,11714.5,585.5462437868118,598,492,93,190,645,585,598,691
L,60,11223.5,588.8599520921707,597,481,94,183,645,569,597,691
L,61,9832.0,508.1320300102234,598,472,92,153,642,551,598,690
L,62,11555.5,528.9188276529312,598,451,94,174,643,541,598,692
L,63,11126.0,529.6467489004135,600,448,92,170,644,533,600,692
L,64,10832.5,510.5756813287735,598,431,94,161,642,515,598,692
L,65,11883.0,581.78888463974,599,416,93,175,644,506,599,692
L,66,10170.5,524.2325353622437,599,413,92,161,644,493,599,691
L,67,10591.5,487.6051199436188,598,390,94,156,641,473,598,692
L,68,10873.5,486.9777021408081,598,382,93,162,643,466,598,691
L,69,10157.5,525.0609623193741,598,372,92,162,643,453,598,690
L,70,10352.0,531.9898948669434,598,352,92,158,641,434,598,690
L,71,10931.5,508.77669179439545,598,344,92,168,643,430,598,690
L,72,10621.0,542.6761870384216,597,332,93,172,642,416,597,690
L,73,11695.0,536.5340515375137,598,314,92,178,642,406,598,690
L,74,11118.5,555.4041085243225,596,308,94,178,642,394,596,690
L,75,10936.5,554.7178163528442,597,294,93,164,640,380,597,690
L,76,11951.5,577.4041086435318,598,276,92,186,642,371,598,690
L,77,11515.5,570.0315251350403,597,271,92,179,641,361,597,689
L,78,12600.5,622.8599523305893,596,252,94,193,642,352,596,690
L,79,11318.0,614.6173117160797,596,242,94,185,641,332,596,690
L,80,9982.0,493.5046136379242,596,230,93,162,638,314,596,689
L,81,10845.0,514.6761864423752,596,212,93,168,638,300,596,689
L,82,11106.5,510.91882741451263,595,205,93,169,639,293,595,688
L,83,11554.0,562.1320307254791,596,192,93,178,639,284,596,689
L,84,11107.0,540.8183218240738,595,176,93,172,638,265,595,688
L,85,11378.5,565.2030984163284,594,167,95,181,640,258,594,689
L,86,10887.5,519.2619729042053,595,154,94,171,639,243,595,689
L,87,10771.5,534.0904008150101,595,140,94,166,638,228,595,689
L,88,11528.5,585.8893902301788,596,129,93,183,639,223,596,689
L,108,4170.0,372.16652047634125,597,0,93,62,646,25,597,690
C,6,4551.5,351.2964632511139,1347,1479,145,41,1411,1502,1347,1492
C,7,5560.5,364.811182141304,1347,1472,147,48,1413,1499,1347,1494
C,8,7680.5,425.9238796234131,1347,1456,147,64,1415,1491,1347,1494
C,9,10791.5,450.6101714372635,1347,1434,147,86,1416,1480,1347,1494
C,10,11184.0,462.99494767189026,1347,1428,147,92,1417,1477,1347,1494
C,11,16935.0,555.4213536977768,1347,1386,147,134,1418,1456,1347,1494
C,12,16684.0,568.4507911205292,1348,1386,146,134,1418,1456,1348,1494
C,13,21063.5,652.9777022600174,1348,1350,146,170,1419,1439,1348,1494
C,14,21241.0,693.3624783754349,1348,1336,148,184,1422,1427,1348,1496
C,15,21051.0,731.6467492580414,1348,1320,147,200,1424,1417,1348,1495
C,16,24817.5,800.6589416265488,1348,1288,148,232,1423,1398,1348,1496
C,17,24230.5,813.6295042037964,1348,1288,148,232,1422,1399,1348,1496
C,18,26749.0,910.2985508441925,1348,1250,148,270,1424,1373,1348,1496
C,19,22413.0,824.7838324308395,1348,1242,148,248,1426,1353,1348,1496
