label,frame,area,perimeter,x,y,w,h,cx,cy,uL,uR
L,0,7496.0,487.220343708992,607,1013,85,115,650,1066,607,692
L,1,8061.0,502.534051656723,606,1005,87,119,650,1061,606,693
L,2,8514.0,500.04877042770386,605,997,89,133,652,1056,605,694
L,3,8557.5,539.9482651948929,606,991,88,141,653,1053,606,694
L,4,8669.0,531.9898952245712,604,980,90,149,651,1044,604,694
L,5,8781.0,541.7888847589493,605,972,88,152,650,1037,605,693
L,6,9149.0,580.0731555223465,603,964,89,152,649,1032,603,692
L,7,9412.5,620.5168064832687,604,952,89,168,648,1026,604,693
L,8,9248.0,556.6173112392426,604,948,88,154,647,1017,604,692
L,9,9812.0,547.7888848781586,604,936,88,155,646,1013,604,692
L,10,10265.0,621.8721449375153,604,928,89,174,648,1008,604,693
L,11,10107.5,538.2325358390808,604,919,89,165,648,1000,604,693
L,12,9198.0,593.1614680290222,604,910,89,164,647,985,604,693
L,13,8003.5,528.5756818056107,604,903,89,148,646,969,604,693
L,14,8092.0,475.3036035299301,602,890,90,126,642,956,602,692
L,15,8323.5,504.031525015831,604,886,88,136,644,951,604,692
L,16,8902.0,514.9604573249817,602,876,90,144,646,948,602,692
L,17,9788.0,527.9898951053619,603,864,89,153,646,940,603,692
L,18,8829.5,521.948264837265,603,862,89,142,645,930,603,692
L,19,8298.5,451.8061298131943,604,850,88,130,644,916,604,692
L,20,9737.0,536.9604576826096,604,836,88,146,644,910,604,692
L,21,10001.5,521.6051191091537,605,836,87,152,645,911,605,692
L,22,9064.0,523.0193326473236,605,823,87,139,645,893,605,692
L,23,10348.0,487.22034335136414,603,812,88,148,645,886,603,691
L,24,10104.0,484.39191603660583,604,814,88,150,647,885,604,692
L,25,10452.0,519.5634891986847,602,796,90,158,644,872,602,692
L,26,9839.0,480.04877030849457,602,790,90,140,645,860,602,692
L,27,8299.0,467.90663480758667,602,790,90,127,647,851,602,692
L,28,9088.0,511.0193327665329,602,768,89,144,645,836,602,691
L,29,8686.5,465.66399371623993,604,771,86,135,645,831,604,690
L,30,8319.0,482.53405153751373,604,764,86,132,645,824,604,690
L,31,9057.0,529.6467493772507,603,748,89,132,646,812,603,692
L,32,9145.0,481.3624783754349,602,748,90,138,645,810,602,692
L,33,8073.5,573.2030980587006,602,738,88,132,646,798,602,690
L,34,8766.5,489.1198378801346,602,726,88,130,647,790,602,690
L,35,8363.0,514.5340514183044,602,724,88,128,646,787,602,690
L,36,8639.5,492.3502856492996,601,709,88,133,645,775,601,689
L,37,9345.0,480.39191591739655,602,699,86,135,645,768,602,688
L,38,8736.5,519.4629839658737,602,696,86,136,646,763,602,688
L,39,9228.5,573.2619732618332,602,682,86,148,646,750,602,688
L,40,9625.5,554.2325357198715,602,674,86,144,646,744,602,688
L,41,10154.0,602.6173115968704,601,670,87,154,646,743,601,688
L,42,11060.5,632.0315252542496,601,654,87,166,646,733,601,688
L,43,9943.0,539.3624784946442,602,649,87,143,646,719,602,689
L,44,10630.5,573.2619733810425,601,642,87,158,644,717,601,688
L,45,9928.0,546.1909056901932,601,628,88,150,643,699,601,689
L,46,8652.0,501.5046137571335,601,626,88,130,644,689,601,689
L,47,8976.0,486.3330410718918,600,610,90,134,644,678,600,690
L,48,9709.5,521.7472543716431,600,601,88,150,644,672,600,688
L,49,8516.5,484.29141104221344,600,600,90,126,644,662,600,690
L,50,9110.0,518.1909055709839,600,584,88,138,643,653,600,688
L,51,9200.5,525.1198379993439,599,575,89,153,642,643,599,688
L,52,7702.5,470.4924215078354,601,577,87,119,643,633,601,688
L,53,8561.0,506.8771973848343,600,556,88,132,643,621,600,688
L,54,8904.0,477.22034311294556,600,549,88,139,642,615,600,688
L,55,8085.0,501.0193328857422,599,550,89,127,642,608,599,688
L,56,8616.0,478.19090580940247,600,528,88,135,643,594,600,688
L,57,8586.0,527.1614682674408,600,523,88,137,642,588,600,688
L,58,8112.5,492.776692032814,600,521,90,131,643,582,600,690
L,59,8393.0,517.5046138763428,600,501,89,137,644,566,600,689
L,60,8604.5,504.7766922712326,600,499,89,131,643,563,600,689
L,61,7722.0,491.1614681482315,600,492,89,135,642,553,600,689
L,62,8385.0,486.67618668079376,600,475,88,139,643,541,600,688
L,63,8592.0,477.5046137571335,598,472,90,139,641,538,598,688
L,64,7710.0,507.50461399555206,599,466,90,139,642,528,599,689
L,65,8656.0,463.22034299373627,599,448,89,138,643,519,599,688
L,66,8097.5,527.889389872551,599,445,90,137,644,510,599,689
L,67,7988.0,469.5634890794754,599,438,89,138,642,505,599,688
L,68,8902.0,580.2741659879684,598,423,90,163,640,497,598,688
L,69,7439.5,503.74725437164307,598,420,90,146,642,483,598,688
L,70,7377.0,453.22034335136414,600,410,89,131,642,475,600,689
