label,frame,area,perimeter,x,y,w,h,cx,cy,uL,uR
L,5,10007.5,613.4873690605164,605,1125,91,175,651,1197,605,696
L,6,9877.5,612.3157957792282,604,1118,90,178,651,1191,604,694
L,7,9702.5,601.2863584756851,606,1115,88,179,652,1188,606,694
L,8,10662.0,575.1025929450989,605,1098,90,177,652,1175,605,695
L,9,10301.0,587.587874174118,606,1097,87,181,653,1175,606,693
L,10,10618.5,657.9137750864029,604,1084,90,194,653,1165,604,694
L,11,10083.0,577.2447282075882,604,1072,90,176,653,1151,604,694
L,12,8530.0,525.1025929450989,604,1074,89,161,653,1145,604,693
L,13,9168.5,582.516806602478,604,1050,90,182,653,1126,604,694
L,14,8307.0,515.6467492580414,605,1050,88,166,652,1122,605,693
L,15,7477.5,513.3452332019806,605,1045,88,155,650,1112,605,693
L,16,7935.0,521.7888847589493,604,1029,89,161,649,1097,604,693
L,17,6586.0,499.44573879241943,605,1036,87,132,646,1096,605,692
L,18,7625.5,479.0609630346298,605,1017,89,149,646,1080,605,694
L,19,6331.0,444.1909056901932,604,1014,88,132,644,1072,604,692
L,20,5892.5,464.91882741451263,604,1008,89,128,644,1065,604,693
L,21,6280.0,439.0193327665329,604,994,88,134,643,1051,604,692
L,22,5192.0,403.90663480758667,605,1002,87,118,641,1051,605,692
L,23,6346.0,442.534051656723,604,976,88,134,644,1032,604,692
L,24,4970.0,404.534051656723,605,978,87,116,641,1027,605,692
L,25,5593.0,362.10764515399933,605,972,87,115,642,1020,605,692
L,26,5988.0,435.7056245803833,604,954,88,133,641,1012,604,692
L,27,5248.0,414.5929266214371,602,962,90,120,639,1013,602,692
L,28,6552.5,473.60511887073517,604,936,89,146,642,997,604,693
L,29,5821.5,454.0904003381729,603,938,89,135,639,995,603,692
L,30,6211.0,444.53405153751373,604,927,88,147,640,987,604,692
L,31,6690.5,458.43354630470276,603,915,89,161,638,980,603,692
L,32,6331.5,473.4041085243225,603,916,89,162,636,980,603,692
L,33,6751.0,453.5634889602661,604,898,88,150,640,961,604,692
L,34,6137.5,439.8061298131943,604,893,87,149,637,956,604,691
L,35,5832.5,444.77669179439545,604,890,87,146,636,952,604,691
L,36,6787.5,488.57568180561066,604,873,86,163,637,940,604,690
L,37,5864.0,476.3330408334732,603,872,87,151,634,935,603,690
L,38,6112.0,467.16146779060364,603,860,88,150,636,922,603,691
L,39,6466.0,476.8771971464157,603,849,87,165,634,915,603,690
L,40,5850.5,481.26197254657745,603,851,87,159,631,917,603,690
