video_stem,frame,tube_diameter_px,tube_diameter_cm,pixels_per_cm,cm_per_pixel,tube_base_area_cm2,flame_surface_area_cm2,views_used,centroid_speed_cm_s,burning_velocity_cm_s
GX010283_trimmed,48,151,5.08,29.72440944881908,0.03364238410596,20.26829916389991,29.656027681244623,"C,R",129.18675496688743,88.29219563138797
GX010285_trimmed,65,150,5.08,29.527559055118186,0.0338666666666665,20.26829916389991,26.96547361765833,"L,R",101.60000000000002,76.36651312898604
GX010289_trimmed,154,150,5.08,29.527559055118186,0.0338666666666665,20.26829916389991,27.97349155318069,"C,L",109.728,79.50383763958605
GX010290_trimmed,93,149,5.08,29.33070866141734,0.0340939597315436,20.26829916389991,39.93851386591075,"L,R",139.103355704698,70.59322331299043
GX010293_trimmed,41,148,5.08,29.13385826771656,0.0343243243243242,20.26829916389991,29.184757100080056,"C,R",125.62702702702704,87.24575497145868
GX010299_trimmed,68,151,5.08,29.72440944881908,0.03364238410596,20.26829916389991,41.009923919186086,"L,R",141.2980132450331,69.83359465281012
GX010303_trimmed,67,153,5.08,30.11811023622048,0.0332026143790849,20.26829916389991,28.41392109501137,"C,R",181.28627450980392,129.31564192731906
GX010309_trimmed,97,152,5.08,29.921259842519696,0.0334210526315789,20.26829916389991,44.2425625547045,"C,L",196.5157894736842,90.02735333329085
GX010312_trimmed,70,153,5.08,30.11811023622048,0.0332026143790849,20.26829916389991,39.784417612684834,"C,L",211.1686274509804,107.58053459206494
GX010313_trimmed,49,152,5.08,29.921259842519696,0.033421052631578935,20.26829916389991,42.16417188639037,"C,L",106.27894736842104,51.088243969113094
