label,frame,area,perimeter,x,y,w,h,cx,cy,uL,uR
L,12,3957.5,440.29141104221344,608,1154,87,156,647,1212,608,695
L,13,4763.0,477.36247849464417,608,1134,85,167,648,1197,608,693
L,14,4069.0,469.50461411476135,608,1133,85,171,642,1199,608,693
L,15,4529.0,473.5046138763428,608,1120,85,172,643,1191,608,693
L,16,4620.0,493.98989474773407,608,1110,85,178,641,1184,608,693
L,17,3891.5,474.0904004573822,608,1110,84,166,639,1177,608,692
L,18,4697.0,472.5340510606766,608,1090,85,175,642,1161,608,693
L,19,4384.0,483.6467490196228,606,1087,86,182,638,1159,606,692
L,20,4560.5,477.1198379993439,608,1079,86,175,641,1146,608,694
L,21,4791.0,477.64674973487854,607,1062,87,180,641,1131,607,694
L,22,4294.5,485.948264837265,606,1064,87,172,638,1130,606,693
L,23,4960.0,511.16146779060364,607,1044,87,186,643,1111,607,694
L,24,4407.0,466.1909054517746,606,1038,87,178,640,1107,606,693
L,25,4715.5,530.5756815671921,606,1030,88,181,641,1096,606,694
L,26,5048.0,551.1614675521851,606,1014,87,187,643,1079,606,693
L,27,4290.0,465.0193328857422,605,1016,88,164,642,1073,605,693
L,28,5490.0,444.0487699508667,606,992,88,160,646,1053,606,694
L,29,5695.0,477.36247849464417,604,987,88,169,642,1051,604,692
L,30,5662.0,494.53405153751373,604,982,89,171,641,1047,604,693
L,31,6823.5,532.433546423912,605,963,88,183,644,1027,605,693
L,32,6158.0,518.0487701892853,604,967,88,175,640,1028,604,692
L,33,7526.5,521.1198381185532,604,946,88,178,642,1013,604,692
L,34,7241.5,479.4629839658737,603,942,89,160,642,1004,603,692
L,35,7589.0,460.93607246875763,604,938,89,150,641,1000,604,693
L,36,8582.5,488.0904002189636,603,922,89,163,642,989,603,692
L,37,7912.0,414.3919163942337,604,925,88,134,643,984,604,692
L,38,9584.5,477.74725437164307,604,902,88,152,643,973,604,692
L,39,8996.5,482.23253560066223,603,901,89,147,642,970,603,692
L,40,9009.0,537.3036034107208,603,889,89,148,642,957,603,692
L,41,9114.0,473.7056245803833,602,879,90,153,641,948,602,692
L,42,8340.5,469.9482650756836,602,878,90,145,640,944,602,692
L,43,9025.0,471.07820785045624,602,857,90,153,641,927,602,692
L,44,8854.5,486.43354630470276,602,854,89,161,638,925,602,691
L,45,8454.0,492.3330409526825,603,844,87,164,639,916,603,690
L,46,9250.0,500.67618680000305,602,829,88,177,638,905,602,690
L,47,8869.0,505.16146767139435,603,830,87,172,637,905,603,690
L,48,9167.5,581.6883795261383,602,810,89,188,639,888,602,691
L,49,8734.0,582.617311835289,604,802,86,188,638,879,604,690
L,50,8280.0,539.6467491388321,603,797,87,181,638,869,603,690
L,51,9078.5,529.6051194667816,603,776,89,190,640,852,603,692
L,52,9098.5,510.0904003381729,602,776,89,178,640,850,602,691
L,53,10448.5,532.7178167104721,602,758,89,192,641,843,602,691
L,54,9719.5,487.4041086435318,602,750,89,162,642,828,602,691
L,55,9916.0,525.5046139955521,602,744,88,172,642,824,602,690
L,56,9680.5,501.74725449085236,602,726,89,158,644,802,602,691
L,57,9770.5,498.91882741451263,602,722,88,164,643,798,602,690
L,58,10580.0,525.0193326473236,602,706,88,180,643,787,602,690
L,59,10040.0,572.1909056901932,601,697,90,158,645,771,601,691
L,60,10785.5,495.46298384666443,602,687,88,165,643,767,602,690
L,61,11359.5,538.7766921520233,601,674,89,178,643,756,601,690
L,62,10328.5,488.29141092300415,601,669,89,155,642,743,601,690
L,63,11554.5,540.7766919136047,602,652,88,178,641,735,602,690
L,64,10397.5,477.9482651948929,601,647,89,152,642,719,601,690
L,65,11131.0,525.1614680290222,600,634,90,169,643,710,600,690
L,66,11892.0,523.6467491388321,600,622,91,168,643,700,600,691
L,67,10636.5,485.1198378801346,600,619,90,149,644,688,600,690
L,68,11900.0,570.759446978569,600,600,90,174,644,677,600,690
L,69,10593.0,497.5046137571335,600,595,90,151,643,664,600,690
L,70,11039.5,504.23253560066223,600,584,89,159,643,657,600,689
L,71,10930.5,528.7766921520233,600,568,89,158,643,641,600,689
L,72,9419.5,471.8061295747757,600,566,89,140,643,631,600,689
L,73,10842.0,497.1614680290222,600,546,89,150,643,619,600,689
L,74,10460.0,532.0487703084946,600,539,89,163,645,610,600,689
L,75,9501.0,480.53405129909515,600,534,90,138,644,599,600,690
L,76,10711.0,525.6467491388321,598,513,91,159,645,589,598,689
L,77,9571.5,512.7766922712326,599,512,91,160,646,580,599,690
L,78,9371.5,490.2325357198715,599,498,91,150,645,570,599,690
L,79,8877.0,495.93101978302,598,485,93,153,645,555,598,691
L,80,7969.5,466.37467086315155,599,483,91,139,646,550,599,690
L,81,8070.0,544.0731555223465,598,462,92,164,646,537,598,690
L,82,7182.5,447.5462441444397,598,456,92,137,646,523,598,690
L,83,7129.0,478.13203060626984,598,448,92,151,648,521,598,690
L,84,6756.5,509.5462441444397,599,432,91,168,647,504,599,690
L,85,6370.0,440.048770070076,598,426,92,148,648,499,598,690
L,86,6577.0,481.84775948524475,599,414,91,169,650,494,599,690
L,87,5777.0,464.1909065246582,598,401,91,159,649,475,598,689
L,88,5529.0,492.048770070076,598,396,92,175,652,472,598,690
L,89,5376.0,537.3036026954651,598,381,92,180,652,460,598,690
L,90,4696.0,493.5046137571335,598,372,92,171,651,446,598,690
L,91,4415.0,498.877197265625,598,364,92,165,651,435,598,690
L,92,4188.0,479.98989474773407,598,353,91,157,648,416,598,689
L,93,4308.5,455.9482649564743,597,343,92,161,650,407,597,689
L,94,4303.5,502.4335460662842,598,336,92,170,650,399,598,690
L,95,4518.5,461.74725437164307,597,325,92,159,648,381,597,689
L,96,4733.0,479.50461399555206,597,315,92,156,649,371,597,689
L,97,4752.0,458.39191579818726,598,308,92,156,648,362,598,690
L,98,5186.0,419.07820761203766,598,294,90,143,646,347,598,688
L,99,5493.5,435.32084810733795,597,286,91,142,647,340,597,688
L,100,5732.5,466.14927542209625,598,277,91,153,648,333,598,689
L,101,6286.0,467.90663480758667,597,264,91,146,647,320,597,688
L,102,6351.5,436.97770273685455,597,257,91,137,647,313,597,688
L,103,6495.5,421.3208484649658,597,247,91,125,647,305,597,688
L,104,7198.5,454.6345566511154,596,234,92,142,647,299,596,688
L,105,7489.0,465.84775960445404,595,225,93,153,647,296,595,688
L,106,7882.0,505.3036034107208,596,214,92,168,646,291,596,688
L,107,7939.5,494.5756813287735,596,201,92,165,646,281,596,688
L,108,6846.5,481.74725461006165,596,194,91,169,647,271,596,687
L,109,6597.5,529.3452333211899,595,182,91,182,646,256,595,686
L,110,6714.5,502.5756810903549,595,171,91,165,646,245,595,686
L,111,6442.0,547.3036034107208,595,164,93,177,648,236,595,688
L,112,6696.5,511.1198379993439,595,154,93,174,647,224,595,688
L,113,7125.0,507.3624782562256,596,144,92,176,648,214,596,688
L,114,7096.5,508.7178170681,595,134,93,178,648,202,595,688
C,12,325.0,138.62741661071777,1388,1508,58,12,1412,1515,1388,1446
C,13,3134.5,353.49747371673584,1361,1478,117,42,1421,1503,1361,1478
C,14,3102.5,333.7817442417145,1360,1478,120,42,1421,1503,1360,1480
C,15,6344.0,463.3380934000015,1348,1456,140,64,1422,1493,1348,1488
C,16,8303.5,450.55129635334015,1348,1438,142,82,1420,1486,1348,1490
C,17,9396.5,503.37972354888916,1348,1436,142,84,1422,1483,1348,1490
C,18,13485.0,541.1370829343796,1346,1408,146,112,1421,1469,1346,1492
C,19,14065.0,578.2497804164886,1346,1396,144,124,1420,1467,1346,1490
C,20,16790.5,600.6934319734573,1346,1384,145,136,1421,1458,1346,1491
C,21,19239.0,633.0193326473236,1346,1362,146,158,1420,1447,1346,1492
C,22,19576.0,635.2203431129456,1346,1360,146,160,1420,1445,1346,1492
C,23,23438.0,699.8477598428726,1346,1332,147,188,1419,1430,1346,1493
C,24,23794.0,688.960457444191,1346,1328,146,192,1418,1426,1346,1492
C,25,25879.0,753.1614681482315,1346,1312,148,208,1418,1417,1346,1494
C,26,27770.5,799.6295043230057,1346,1293,149,227,1417,1406,1346,1495
C,27,27236.0,783.7300096750259,1346,1289,148,231,1416,1404,1346,1494
C,28,31220.5,849.9726499319077,1346,1250,148,270,1416,1384,1346,1494
C,29,29845.5,920.0559104681015,1346,1250,148,270,1412,1380,1346,1494
C,30,29907.5,910.7422021627426,1346,1228,149,292,1412,1368,1346,1495
C,31,30784.0,965.8965300321579,1347,1204,149,316,1411,1351,1347,1496
C,32,27807.0,927.8965301513672,1346,1214,149,306,1408,1351,1346,1495
C,33,29407.0,1002.1219254732132,1346,1168,150,341,1410,1320,1346,1496
C,34,25584.5,925.1097331047058,1346,1166,150,296,1409,1305,1346,1496
C,35,24464.5,936.8254619836807,1346,1149,150,295,1411,1286,1346,1496
C,36,22290.5,985.3940036296844,1347,1127,149,309,1410,1260,1347,1496
C,37,18228.0,784.0142806768417,1347,1134,149,239,1414,1240,1347,1496
C,38,21816.5,885.5117540359497,1347,1091,150,287,1414,1217,1347,1497
